tick_ts_ms,symbols_count,bytes_sent_per_client
1762758535427,3,0
1762758535527,3,0
1762758535628,3,0
1762758535729,3,0
1762758535829,3,0
1762758535930,3,0
1762758536031,3,0
1762758536132,3,0
1762758536233,3,0
1762758536334,3,0
1762758536434,3,87
1762758536536,3,87
1762758536636,3,87
1762758536737,3,87
1762758536838,3,87
1762758536939,3,87
1762758537041,3,87
1762758537141,3,87
1762758537243,3,87
1762758537344,3,87
1762758537444,3,87
1762758537545,3,87
1762758537646,3,87
1762758537747,3,87
1762758537848,3,87
1762758537949,3,87
1762758538050,3,87
1762758538151,3,87
1762758538252,3,87
1762758538352,3,87
1762758538453,3,87
1762758538554,3,87
1762758538656,3,87
1762758538757,3,87
1762758538857,3,87
1762758538958,3,87
1762758539059,3,87
1762758539160,3,87
1762758539261,3,87
1762758539362,3,87
1762758539463,3,87
1762758539564,3,87
1762758539665,3,87
1762758539765,3,87
1762758539866,3,87
1762758539967,3,87
1762758540068,3,87
1762758540169,3,87
1762758540270,3,87
1762758540371,3,87
1762758540472,3,87
1762758540573,3,87
1762758540674,3,87
1762758540775,3,87
1762758540876,3,87
1762758540977,3,87
1762758541079,3,87
1762758541180,3,87
1762758541281,3,87
1762758541382,3,87
1762758541483,3,87
1762758541584,3,87
1762758541685,3,87
1762758541785,3,87
1762758541886,3,87
1762758541987,3,87
1762758542088,3,87
1762758542189,3,87
1762758542290,3,87
1762758542391,3,87
1762758542492,3,87
1762758542593,3,87
1762758542694,3,87
1762758542796,3,87
1762758542896,3,87
1762758542997,3,87
1762758543098,3,87
1762758543199,3,87
1762758543299,3,87
1762758543400,3,87
1762758543501,3,87
1762758543602,3,87
1762758543703,3,87
1762758543804,3,87
1762758543905,3,87
1762758544006,3,87
1762758544107,3,87
1762758544208,3,87
1762758544309,3,87
1762758544410,3,87
1762758544511,3,87
1762758544612,3,87
1762758544713,3,87
1762758544814,3,87
1762758544914,3,87
1762758545016,3,87
1762758545116,3,87
1762758545217,3,87
1762758545319,3,87
1762758545420,3,87
1762758545521,3,87
1762758545621,3,87
1762758545722,3,87
1762758545823,3,87
1762758545924,3,87
1762758546025,3,87
1762758546125,3,87
1762758546226,3,87
1762758546327,3,87
1762758546429,3,87
